ID,Title,Organisation,school/sub-org,Country,Full programme / Module,Level,Start year of prog/module,Latest offering,Lat,Long,Homepage,Syllabus,instructor 1,instructor Academic/Professional,instructor 2,Instructor Twitter
BH162,Skills 5: Research and data journalism,Groningen University,,Netherlands,Module,PG,,,53.219263,6.562987,https://www.rug.nl/ocasys/rug/vak/show?code=LJX055M05,,,,,
BH163,"Seminar Introduction into Datadriven Journalism: Sources, Research, Storytelling",University of ZŸrich,,Switzerland,Module,PG,,2017,47.374322,8.550981,https://studentservices.uzh.ch/uzh/anonym/vvz/index.html#/details/2017/003/SM/50803072,,Timo Grossenbacher |,Professional,Julian Schmidli,@ Grssnbchr | @julianschmidli
BH164,Data Journalism,University of Central Lancashire,"School of Journalism, Media and Performance",UK,Module,UG,,2018,53.7634033,-2.7087492,http://www.uclan.ac.uk/courses/ba_hons_journalism.php,,Andy Dickinson,"Academic, past professional",,
BH165,Data Journalism,University of West of Scotland,"School of Media, Culture and Society",UK,Module,UG,,,55.8434263,-4.4300687,http://psmd.uws.ac.uk/PublicWebView_ModuleDescriptor.aspx?documentGroupCode=MD0003405&academicSession=2017%2F18,,Peter Geoghegan,,,
BH166,Data Journalism and Infographics,Humber College Institute of Technology and Advanced Learning,,Canada,Module,PG,2018,2018,43.728544,-79.607913,https://mediastudies.humber.ca/course.html?code=JNAL%205503,,,,,
BH167,Data Journalism,Humber College Institute of Technology and Advanced Learning,,Canada,Module,UG ,2018,2018,43.728544,-79.607913,https://mediastudies.humber.ca/programs/journalism-print-and-broadcast.html,,,,,
BH168,Digital and data Journalism,Plymouth Marjon University,,UK,Module,PG,,,34.36594,-89.52536,https://www.marjon.ac.uk/courses/journalism-masters/,,,,Warren Cohen,
BH169,Social Media and Data Journalism,University of Roehampton,"Department of Media, Culture and Language",UK,Module,PG,,2018,51.457987,-0.243287,http://urweb.roehampton.ac.uk/module/?module=JOU020L420,,,,,
BH17,Investigative Reporting,University of Missouri,School of Journalism,USA,Programme,PG,,2017,38.9364147,-92.329703,https://ire.org/media/uploads/files/documents/educators-center/horvitsyllabus.pdf,,Mark Horvit,,,
BH170,Data Journalism,Macquarie University,"Department of Media, Music, Communication and Cultural Studies",Australia,Module,PG,,2018,-33.7774154,151.1181406,http://handbook.mq.edu.au/2017/Units/PGUnit/MECO826,,Margie Borschke,Academic,,@copyculture
BH171,Master of Journalism (Data & Investigation),University of King's College Halifax,School of Journalism,Canada,Programme,PG,,2018,44.6387167,-63.5923612,https://ukings.ca/area-of-study/master-of-journalism-data-investigative/,,Various,,,
BH172,Data Journalism Concentration (3 modules),DePaul University,College of Communication,USA,Programme,PG,,,41.92402,-87.6547263,https://www.depaul.edu/university-catalog/degree-requirements/graduate/communication/journalism-ma/concentrations/Pages/data-journalism.aspx,,,,,
