Sylke Gruhnwald,Neue Zürcher Zeitung,"Zurich, Switzerland",http://www.github.com/sylke-gruhnwald
Michael Hörz,Freelance,"Berlin, Germany",http://www.github.com/m-hoerz
Irene Jay Liu,Thomson Reuters,"Hong Kong, China",N/A
David Bauer,N/A,"Basel, Switzerland",http://www.github.com/davidbauer
Alora Guerrero,Yahoo,"Taguig, Philippines",N/A
Yolanda Jinxin Ma,N/A,"Hong Kong, China",N/A
Jonathon Morgan,CrisisNET,"Austin, United States",http://www.github.com/gati
Claus Hesseling,Freelance,"Hamburg, Germany",http://www.github.com/the-claus
Davide Mancino,Freelance,"N/A, Italy",N/A
Achim Tack,Mappable,"Hamburg, Germany",N/A
Axel Bizel-Bizellot,IDE,"Paris, France",N/A
Jesus Flores,UCM,"Madrid, Spain",N/A
Djordje Padejski,Stanford University,"Stanford, United States",N/A
Mirjam Leunissen,Dutch Data Design,"Amsterdam, The Netherlands",N/A
Mariana Santos,Fusion Miami,"N/A, Portugal",N/A
Friedrich Lindenberg,ICFJ,"Cape Town, South Africa",http://www.github.com/pudo
Natalia Karbasova,Hubert Burda Media,"Munich, Germany",http://www.github.com/karbasa
Vito Gallotta,Freelance,"Bari, Italy",N/A
Ettore Rizza,Freelance,"Brussels, Belgium",N/A
Duc-Quang Nguyen,SWISSINFO,"Lausanne, Switzerland",http://www.github.com/d-qn
Lucas Portilho,N/A,"Juiz de Fora, Brazil",N/A
Joshua Hatch,The Chronicle of Higher Education,"Washington, D.C., United States",N/A
Momi Peralta Ramos,LA NACION (Argentina),"Buenos Aires, Argentina",N/A
Colin Hart,N/A,"New York, United States",http://www.github.com/cohart
Bruno De Bondt,Freelance,"Vancouver, Canada",http://www.github.com/brunodbo/
Jonathan Stray,Columbia University,"New York, United States",http://www.github.com/jstray
Gianna Grün,N/A,"Berlin, Germany",N/A
Rohan Jayasekera,Vivarta,"London, United Kingdom",http://www.github.com/Vivarta
Maria Manolova,Capital Weekly,"Sofia, Bulgaria",N/A
Markus Hametner,DER STANDARD,"Vienna, Austria",http://www.github.com/fin
Björn Schwentker,Freelance,"Hamburg, Germany",N/A
Nick Henn,N/A,"Berlin, Germany",N/A
Paula Guisado,UNIR,"Madrid, Spain",N/A
Peter Sjöholm,Finnish Broadcasting Company,"Helsinki, Finland",N/A
Md Aminul Islam,The Daily Star,"Dhaka, Bangladesh",N/A
Jacopo Ottaviani,Freelance,"Rome, Italy",N/A
Florian Gossy,DER STANDARD,"Vienna, Austria",N/A
Daan van Elk,NU.nl,"Utrecht, The Netherlands",N/A
Aramis Castro Ramos,Corresponsales,"Lima, Peru",N/A
Jerry Vermanen,NU.nl,"Apeldoorn, The Netherlands",N/A
Sidclei Sobral,Editora Abril,"Sao Paulo, Brazil",N/A
John Swain,Kandula Ltd,"Leeds, United Kingdom",http://www.github.com/swainjo
James Ratemo,N/A,"Nairobi, Kenya",N/A
Jan Schwochow,Golden Section Graphics,"Berlin, Germany",N/A
Gerald Gartner,N/A,"Vienna, Austria",N/A
Victor Alexandre,Freelance,"Paris, France",N/A
Andre Monteiro,Folha,"Sao Paulo, Brazil",N/A
Shannon Service,N/A,"Sausalito, United States",N/A
Daniele Grasso,El Confidencial,"Madrid, Spain",N/A
Marcus Schwarze,Rhein-Zeitung,"Koblenz, Germany",http://www.github.com/homofaber17
Ricardo Matheus,Rio de Janeiro City Hall,"Rio de Janeiro, Brazil",N/A
Guido Romeo,WIRED (Italy),"Milan, Italy",N/A
Sara Moreira,Journalism++ Porto,"Porto, Portugal",N/A
Jesús Escudero,El Confidencial,"Madrid, Spain",http://www.github.com/jescuderoma
Alice Corona,Silk,"Amsterdam, The Netherlands",N/A
Laura Pavesi,Freelance,"N/A, Italy",N/A
Sean McCarthaigh,N/A,"Dublin, Ireland",N/A
Víctor Caballero,N/A,"Madrid, Spain",N/A
Kor Dwarshuis,Kor Dwarshuis,"Amsterdam, The Netherlands",N/A
Juan Elosua,Freelance,"Vigo, Spain",http://www.github.com/jjelosua
Antonio Delgado,Freelance,"Madrid, Spain",http://www.github.com/adelgadob
Federico Comesaña,El Observador,"Montevideo, Uruguay",http://www.github.com/fcomesana
Matthew Caruana Galizia,ICIJ,"San José, Costa Rica",http://www.github.com/mattcg
Mar Cabra,ICIJ,"Madrid, Spain",http://www.github.com/marcabra
Steven Rich,The Washington Post,"Washington, D.C., United States",http://www.github.com/stevenrich
Cristian Giulietti,N/A,"N/A, Italy",N/A
Karma Peiró,Freelance,"Barcelona, Spain",N/A
Stéphane Goué,N/A,"Abidjan, Ivory Coast",N/A
Krystina Shveda,N/A,"Minsk, Belarus",N/A
Eva Constantaras,Internews,"Nairobi, Kenya",http://www.github.com/evaconstantaras
Tom Johnson,Inst. for Analytic Journalism,"Santa Fe, (US-NM), United States",N/A
Todd Wallack,Boston Globe,"Boston, United States",N/A
Steven Melendez,Freelance,"New York, United States",http://www.github.com/smelendez
Benoit Theunissen,Intellactio,"Brussels, Belgium",N/A
Justin Myers,The Chronicle of Higher Education,"Arlington (US-VA), United States",http://www.github.com/myersjustinc
