Title,Company,Location,Post_Date,URL,Current Status,Source,Real,data,dataset,data analysis
Multimedia Journalist/News Producer,Univision communications inc,"Atlanta, GA",2018-11-06 17:38:40,https://www.indeed.com/viewjob?jk=c727d635ffb403b9,nan,indeed,True,nan,nan,nan
Part Time News Producer,WEVV,"Evansville, IN 47708",2018-11-06 17:38:33,https://www.indeed.com/viewjob?jk=95b582b0c2b9c505,nan,indeed,True,nan,nan,nan
Editorial Director,Haven Life,"New York, NY 10010 (Gramercy area)",2018-11-06 17:38:04,https://www.indeed.com/viewjob?jk=3b40f73f92b3e4d9,nan,indeed,True,1.0,nan,nan
Fellowship -- Reporter/Visual Investigations/Video,The New York Times,"New York, NY",2018-11-06 17:38:00,https://www.indeed.com/viewjob?jk=38a0116e21ce46c2,nan,indeed,True,nan,nan,nan
Fellowship -- Designer/Editorial News Design,The New York Times,"New York, NY",2018-11-06 17:37:58,https://www.indeed.com/viewjob?jk=cdd60a58e891a7e9,nan,indeed,True,nan,nan,nan
Fellowship -- Editor/Graphics,The New York Times,"New York, NY",2018-11-06 17:37:38,https://www.indeed.com/viewjob?jk=fdc30749944ab4c8,nan,indeed,True,2.0,nan,nan
Fellowship -- Reporter,The New York Times,"New York, NY",2018-11-06 17:37:31,https://www.indeed.com/viewjob?jk=380a2977fbd326c9,nan,indeed,True,nan,nan,nan
Fellowship -- Writer and Editor/Opinion,The New York Times,"New York, NY",2018-11-06 17:37:16,https://www.indeed.com/viewjob?jk=0a981b1cd0107369,nan,indeed,True,nan,nan,nan
Multi Media Journalist,Hearst Television Inc.,"Oklahoma City, OK",2018-11-06 17:37:06,https://www.indeed.com/viewjob?jk=6d83f1c314f341e0,nan,indeed,True,nan,nan,nan
Senior Writer/Editor,Cruise Automation,"San Francisco, CA",2018-11-05 17:38:38,https://www.indeed.com/viewjob?jk=05de9211196cad62,nan,indeed,True,nan,nan,nan
Top News Editor (Editor in Charge),Thomson Reuters,"New York, NY 10036",2018-11-04 17:40:06,https://www.indeed.com/viewjob?jk=ccc7cf27ce02785c,nan,indeed,True,nan,nan,nan
News Editor (Commercial Real Estate),CoStar Group,"Washington, DC 20005 (Logan Circle area)",2018-11-03 17:39:20,https://www.indeed.com/viewjob?jk=3b1333dd507c1939,nan,indeed,True,5.0,nan,nan
"Senior Content Managing Editor, Development",Florida International University,"Miami, FL",2018-11-03 17:38:57,https://www.indeed.com/viewjob?jk=1e6c2b8217b5baea,nan,indeed,True,1.0,nan,nan
News Director,KDNK Radio,"Carbondale, CO 81623",2018-11-03 17:38:09,https://www.indeed.com/viewjob?jk=091962698bcd3a90,nan,indeed,True,nan,nan,nan
Correspondent - ConfectioneryNews & BakeryAndSnacks,William Reed Business Media Ltd,"Chicago, IL 60606 (Loop area)",2018-11-03 17:37:23,https://www.indeed.com/viewjob?jk=6bc06dd0f6f4f5ba,nan,indeed,True,nan,nan,nan
Multimedia Journalist Reporter,WIVB/WNLO,"Buffalo, NY",2018-11-03 17:37:19,https://www.indeed.com/viewjob?jk=dcf801ced7f7060c,nan,indeed,True,nan,nan,nan
"Part-time Editor, Overnight",The E.W. Scripps Company,"Milwaukee, WI 53212 (Harambee area)",2018-11-02 17:38:36,https://www.indeed.com/viewjob?jk=982ddfb59dffc161,nan,indeed,True,nan,nan,nan
Editor,Kharon,"Los Angeles, CA",2018-11-02 17:37:34,https://www.indeed.com/viewjob?jk=e1a042242082752a,nan,indeed,True,2.0,nan,nan
"Job 1690, Crime Reporter - Steamboat Springs Pilot and Today",Swift Communications Inc,"Steamboat Springs, CO",2018-11-01 17:38:24,https://www.indeed.com/viewjob?jk=f0079edf69a93a8b,nan,indeed,True,nan,nan,nan
"Weekend Anchor/General Assignment Reporter, KABC-TV",Media Networks,"Glendale, CA",2018-11-01 17:38:15,https://www.indeed.com/viewjob?jk=c9c622d19ade0958,nan,indeed,True,nan,nan,nan
Reporter/MMJ,Tribune Media Company,"Denver, CO",2018-11-01 17:37:53,https://www.indeed.com/viewjob?jk=46d2d7db109eec0b,nan,indeed,True,nan,nan,nan
Newsperson - Politics,Associated Press,"Washington, DC 20005 (Logan Circle area)",2018-11-01 17:37:34,https://www.indeed.com/viewjob?jk=9a27f6ea9135e2c8,nan,indeed,True,nan,nan,nan
Part Time Copy Editor,Digital First Media,"Boston, MA",2018-11-01 17:37:16,https://www.indeed.com/viewjob?jk=b0d1fb30790f44cc,nan,indeed,True,nan,nan,nan
